Study_ID,Item_Type,Publication_Year,Author_List,Title,Publication_Title,DOI,Url,Abstract Note,Pages,Issue,Volume,Publisher,Place,Library_Catalog,Editor,Conference_Name,Author_Last,Include,level,Country,Discipline,Condensed_Discipline,Outcome,Condensed_Outcomes,Study_Design
11,journalArticle,2021,"Bukach, Cindy M.; Bukach, Nadia; Reed, Catherine L.; Couperus, Jane W.",Open science as a path to education of new psychophysiologists.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2021.04.001,,"Abstract There is a pressing need for resources to train the next generation of psychophysiologists. Psychophysiology, and especially the subfield of cognitive electrophysiology, poses challenges for educators because it requires an understanding of complex concepts and experimental design, advanced analysis and programming skills, and access to specialized software and equipment. These challenges are common to other STEM fields as well. We present PURSUE (Preparing Undergraduates for Research in STEM Using Electrophysiology ‚Äì www.PursueERP.com ) as an example initiative that engages open educational practices to create and share freely available electrophysiology training materials. This model uses evidence-based pedagogy to create accessible and flexible materials, an open database with supporting lab-based training resources, and also provides instructor support during implementation. This model can be used for other areas within STEM. We review benefits and challenges of using open science research and publishing practices for training. Open science resources have benefits for both course-based undergraduate research experiences and other types of training by increasing access to publications, software, and code for conducting experiments and analyses, as well as access to data for those who do not have access to research equipment. Further, we argue that coordinated open educational practices are necessary to take full advantage of open science resources for training students. Open educational practices such as open educational resources, collaborative course building, and implementation support greatly enhance the ability to incorporate these open science resources into a curriculum.",76-83,NA,165,,,,,,Bukach,N,UG,US,Psychophysiology,Psychology,Program Description,,OB
12,journalArticle,2023,"Memarian, Bahar; Doleck, Tenzin",Data science pedagogical tools and practices: A systematic literature review,Education and Information Technologies,10.1007/s10639-023-12102-y,https://link.springer.com/10.1007/s10639-023-12102-y,"The development of data science curricula has gained attention in academia and industry. Yet, less is known about the pedagogical practices and tools employed in data science education. Through a systematic literature review, we summarize prior pedagogical practices and tools used in data science initiatives at the higher education level. Following the Technological Pedagogical Content Knowledge (TPACK) framework, we aim to characterize the technological and pedagogical knowledge quality of reviewed studies, as we find the content presented to be diverse and incomparable. TPACK is a universally established method for teaching considering information and communication technology. Yet it is seldom used for the analysis of data science pedagogy. To make this framework more structured, we list the tools employed in each reviewed study to summarize technological knowledge quality. We further examine whether each study follows the needs of the Cognitive Apprenticeship theory to summarize the pedagogical knowledge quality in each reviewed study. Of the 23 reviewed studies, 14 met the needs of Cognitive Apprenticeship theory and include hands-on experiences, promote students‚Äô active learning, seeking guidance from the instructor as a coach, introduce students to the real-world industry demands of data and data scientists, and provide meaningful learning resources and feedback across various stages of their data science initiatives. While each study presents at least one tool to teach data science, we found the assessment of the technological knowledge of data science initiatives to be difficult. This is because the studies fall short of explaining how students come to learn the operation of tools and become proficient in using them throughout a course or program. Our review aims to highlight implications for practices and tools used in data science pedagogy for future research.",,,,Educ Inf Technol,,DOI.org (Crossref),,,Memarian,N,BOTH,Multiple,Multiple,Multiple,Systematic review of literature,,OT
13,journalArticle,2023,"Tackett, Maria",Three Principles for Modernizing an Undergraduate Regression Analysis Course,Journal of Statistics and Data Science Education,10.1080/26939169.2023.2165989,,"As data have become more prevalent in academia, industry, and daily life, it is imperative that undergraduate students are equipped with the skills needed to analyze data in the modern environment. In recent years there has been a lot of work innovating introductory statistics courses and developing introductory data science courses; however, there has been less work beyond the first course. This paper describes innovations to Regression Analysis taught at Duke University, a course focused on application that serves a diverse undergraduate student population of statistics and data science majors along with non-majors. Three principles guiding the modernization of the course are presented with details about how these principles align with the necessary skills of practice outlined in recent statistics and data science curriculum guidelines. The paper includes pedagogical strategies, motivated by the innovations in introductory courses, that make it feasible to implement skills for the practice of modern statistics and data science alongside fundamental statistical concepts. The paper concludes with the impact of these changes, challenges, and next steps for the course. Portions of in-class activities and assignments are included in the paper, with full sample assignments and resources for finding data in the supplemental materials.",116-127,2,31,,,,,,Tackett,Y,UG,US,Statistics,Statistics,Unsure,Framework,OB
14,journalArticle,2020,"Auker, Linda A.; Barthelmess, Erika L.","Teaching R in the undergraduate ecology classroom: approaches, lessons learned, and recommendations",Ecosphere,10.1002/ecs2.3060,https://onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.3060,"Learning ecology requires training in data management and analysis. Because of its transparent and flexible nature, R is increasingly used for data management and analysis in the field of ecology. Consequently, job postings targeting candidates with a bachelor's degree and a required knowledge of R have increased over the past ten years. In this paper, we begin by presenting data from the last ten years demonstrating the increase in the use of R, an open-source programming environment, in ecology and its prevalence as a required skill in job descriptions. We then discuss our experiences teaching undergraduates R in two advanced ecology classes using different approaches. One approach, in a course with a field laboratory, focused on collecting, cleaning, and preparing data for analysis. The other approach, in a course without a field laboratory, focused on analyzing existing datasets and applying the results to content discussed in the lecture portion of the course. Our experiences determined that each approach had strengths and weaknesses. We recommend that above all, instructors of ecology and related subjects should be encouraged to include R in their coursework. Furthermore, instructors should be aware of the following: Learning R is a separate skill from learning statistics; writing R assignments is a significant time commitment for course preparation; and there is a tradeoff between teaching R and teaching content. Determining how one's course fits into the curriculum and identifying resources outside of the classroom for students‚Äô continued practice will ensure that R training is successful and will extend beyond a one-semester course.",e03060,4,11,,,Wiley Online Library,,,Auker,Y,UG,US,Ecology,Ecology,Framework,Framework,OB
15,journalArticle,2010,"Nolan, Deborah; Lang, Duncan Temple",Computing in the Statistics Curricula,The American Statistician,10.1198/tast.2010.09132,,"The nature of statistics is changing significantly with many opportunities to broaden the discipline and its impact on science and policy. To realize this potential, our curricula and educational culture must change. While there are opportunities for significant change in many dimensions, we focus more narrowly on computing and call for computing concepts to be integrated into the statistics curricula at all levels. Computational literacy and programming are as fundamental to statistical practice and research as mathematics. We advocate that our field needs to define statistical computing more broadly to include advancements in modern computing, beyond traditional numerical algorithms. Information technologies are increasingly important and should be added to the curriculum, as should the ability to reason about computational resources, work with large datasets, and perform computationally intensive tasks. We present an approach to teaching these topics in combination with scientific problems and modern s...",97-107,2,64,,,,,,Nolan,N,BOTH,US,"Statistics, Math, Science",Multiple,None ,,OT
16,journalArticle,2021,"Kolaczyk, Eric D.; Wright, Haviland; Yajima, Masanao",Statistics Practicum: Placing 'Practice' at the Center of Data Science Education,"Issue 3.1, Winter 2021",10.1162/99608f92.2d65fc70,,"Much of the current postsecondary training in core data science fields treats ‚Äòpractice‚Äô as something to be relegated to capstone projects or other final preparations before students leave their programs. Here we argue for a paradigm shift, placing a so-called practicum course at the center of a data science program, intentionally organized as a hybrid between an educational classroom and an industry-like environment. As a case study, we detail our experience of the past 5 years developing the Statistics Practicum in Boston University‚Äôs M.S. in Statistical Practice (MSSP) program. We describe the motivation, organization, and logistics of our practicum, as well as both successes and challenges we have faced. In particular, the challenge of fairly and effectively assessing student achievement and program impact in this novel setting is discussed.",NA-NA,NA,NA,,,,,,Kolaczyk,Y,GR,US,Statistics,Statistics,Program Framework,Framework,QL
17,journalArticle,2020,"√áetinkaya-Rundel, Mine; Ellison, Victoria",A fresh look at introductory data science,Journal of Statistics and Data Science Education,10.1080/10691898.2020.1804497,,The proliferation of vast quantities of available datasets that are large and complex in nature has challenged universities to keep up with the demand for graduates trained in both the statistical ...,11-Jan,sup1,29,,,,,,Çetinkaya-Rundel,Y,UG,US,"Data Science, Statistics",Statistics,Course Review,Framework,OB
18,journalArticle,2015,"Janz, Nicole",Bringing the Gold Standard into the Classroom: Replication in University Teaching,International Studies Perspectives,,,"Reproducibility is held to be the gold standard for scientific research. The credibility of published work depends on being able to replicate the results. However, there are few incentives to conduct replication studies in political science. Replications are difficult to conduct, time-consuming, and hard to publish because of a presumed lack of originality. This article sees a solution in a profound change in graduate teaching. Universities should introduce replications as class assignments in methods training or invest in new stand-alone replication workshops to establish a culture of replication and reproducibility. This article will first discuss the benefits of conducting replications. The main part will focus on concrete steps in integrating replication in the classroom, from selecting a paper to final manuscripts. Drawing on the author's own teaching experience as well as that of others, particular emphasis will be on the pitfalls and challenges of letting students replicate work, as well as potential criticism. Only if universities nurture a reproducibility and replication culture can we ensure that the gold standard of reliable, credible, and valid research is not just an empty phrase.",392-407,4,17,,,,,,Janz,Y,GR,US,Social Science,Multiple,Course Suggestions,Framework,QL
19,journalArticle,2016,"Touchon, Justin C.; McCoy, Michael W.",The mismatch between current statistical practice and doctoral training in ecology,Ecosphere,10.1002/ecs2.1394,,"Ecologists are studying increasingly complex and important issues such as climate change and ecosystem services. These topics often involve large data sets and the application of complicated quantitative models. We evaluated changes in statistics used by ecologists by searching nearly 20,000 published articles in ecology from 1990 to 2013. We found that there has been a rise in sophisticated and computationally intensive statistical techniques such as mixed effects models and Bayesian statistics and a decline in reliance on approaches such as ANOVA or t tests. Similarly, ecologists have shifted away from software such as SAS and SPSS to the open source program R. We also searched the published curricula and syllabi of 154 doctoral programs in the United States and found that despite obvious changes in the statistical practices of ecologists, more than one-third of doctoral programs showed no record of required or optional statistics classes. Approximately one-quarter of programs did require a statistics course, but most of those did not cover contemporary statistical philosophy or advanced techniques. Only one-third of doctoral programs surveyed even listed an optional course that teaches some aspect of contemporary statistics. We call for graduate programs to lead the charge in improving training of future ecologists with skills needed to address and understand the ecological challenges facing humanity.",NA-NA,8,7,,,,,,Touchon,N,GR,US,Ecology,Ecology,None ,,OB
20,journalArticle,2017,"Pruim, Randall; Kaplan, Daniel T.; Horton, Nicholas J.",The mosaic Package: Helping Students to Think with Data Using R,The R Journal,10.32614/rj-2017-024,,NA,77-102,1,9,,,,,,Pruim,N,UG,US,"Statistics, Math",Statistics,None ,,OT
21,journalArticle,2018,"Asamoah, Daniel; Doran, Derek; Schiller, Shu Z.",Interdisciplinarity in Data Science Pedagogy: A Foundational Design,Journal of Computer Information Systems,10.1080/08874417.2018.1496803,,"Data science is an interdisciplinary field that generates insights in data to aid decision-making. Recognizing that data scientists must be interdisciplinary, agile, and able to adapt to data analy...",370-377,4,60,,,,,,Asamoah,N,UG,US,"Management Information Systems, Computer Science (Business)",Business,Student experience and perceptions,,OB
22,journalArticle,2023,"Zhang, Icy Yunyi; Gray, Maureen E.; Cheng, Alicia Xiaoxuan; Son, Ji Y.; Stigler, James W.",Representational-mapping strategies improve learning from an online statistics textbook,Journal of Experimental Psychology. Applied,10.1037/xap0000474,,"Using multiple representations is an important part of learning and problem-solving in science, technology, engineering and mathematics fields. For students to acquire flexible knowledge of representations, they must attend to the structural information within each representation and practice making relational connections between representations. Most studies so far have only attempted to help students connect between multiple representations in the lab or short-term classroom interventions, with the intervention largely separated from students' authentic learning. The present study developed a representation-mapping intervention designed to help students interpret, coordinate, and eventually translate across multiple representations. We integrated the intervention into an online textbook being used in a college course, allowing us to study its impact in a real course over an extended period of time. The findings of this study support the efficacy of the representation-mapping intervention for facilitating learning and shed light on how to implement and refine such interventions in authentic learning contexts. (PsycInfo Database Record (c) 2023 APA, all rights reserved).",,,,J Exp Psychol Appl,,PubMed,,,Zhang,N,UG,US,Psychology,Psychology,Academic,,QE
23,journalArticle,2020,"Stigler, James W.; Son, Ji Y.; Givvin, Karen B.; Blake, Adam B.; Fries, Laura; Shaw, Stacy T.; Tucker, Mary C.",The Better Book Approach for Education Research and Development,Teachers College Record: The Voice of Scholarship in Education,10.1177/016146812012200913,http://journals.sagepub.com/doi/10.1177/016146812012200913,"All of these factors together make it very hard for science as we know it to yield reliable improvements in student outcomes. The most innovative programs involve a redesign of the system, not just one component part; massive effort is often required just to get such programs off the ground.",Jan-32,9,122,Teachers College Record,,DOI.org (Crossref),,,Stigler,N,UG,US,Statistics,Statistics,None ,,QL
24,journalArticle,2023,"Tucker, Mary C.; Shaw, Stacy T.; Son, Ji Y.; Stigler, James W.",Teaching Statistics and Data Analysis with R,Journal of Statistics and Data Science Education,10.1080/26939169.2022.2089410,https://www.tandfonline.com/doi/full/10.1080/26939169.2022.2089410,"We developed an interactive online textbook that interleaves R programming activities with text as a way to facilitate students‚Äô understanding of statistical ideas while minimizing the cognitive and emotional burden of learning programming. In this exploratory study, we characterize the attitudes and experiences of 672 undergraduate students as they used our online textbook as part of a 10-week introductory course in statistics. Students expressed negative attitudes and concerns related to R at the beginning of the course, but most developed more positive attitudes after engaging with course materials, regardless of demographic characteristics or prior programming experience. Analysis of a subgroup of students revealed that change in attitudes toward R may be linked to students‚Äôpatterns of engagement over time and students‚Äô perceptions of the learning environment.",18-32,1,31,Journal of Statistics and Data Science Education,,DOI.org (Crossref),,,Tucker,Y,UG,US,Psychology,Psychology,Attitudes toward R; Confidence and Importance Ratings,Perceptions ,OB
25,journalArticle,2023,"Sutter, Claudia C.; Givvin, Karen B.; Tucker, Mary C.; Givvin, Kathryn A.; Leandro-Ramos, Ana; Solomon, Paige L.","Student Concerns and Perceived Challenges in Introductory Statistics, How the Frequency Shifted during COVID-19, and How They Differ by Subgroups of Students",Journal of Statistics and Data Science Education,10.1080/26939169.2022.2132325,https://www.tandfonline.com/doi/full/10.1080/26939169.2022.2132325,"The COVID-19 pandemic and shift to remote instruction disrupted students‚Äô learning and well-being. This study explored undergraduates‚Äô incoming course concerns and later perceived challenges in an introductory statistics course. We explored how the frequency of concerns changed with the onset of COVID-19 (N =1417) and, during COVID-19, how incoming concerns compared to later perceived challenges (n =524). Students were most concerned about R coding, understanding concepts, workload, prior knowledge, time management, and performance, with each of these concerns mentioned less frequently during than before COVID-19. Concerns most directly related to the pandemic‚Äîvirtual learning and inaccessibility of resources‚Äîshowed an increase in frequency. The frequency of concerns differed by gender and URM status. The most frequently mentioned challenges were course workload, virtual learning, R coding, and understanding concepts, with significant differences by URM status. Concerns about understanding concepts, lack of prior knowledge, performance, and time management declined from the beginning to the end of the term. Workload had the highest rate of both consistency and emergence across the term. Because students‚Äô perceptions have an impact on their experiences and expectations, understanding and addressing concerns and challenges could help guide instructional designers and policymakers as they develop interventions.",188-200,2,31,Journal of Statistics and Data Science Education,,DOI.org (Crossref),,,Sutter,Y,UG,US,"Psychology, Political Science",Multiple,Concern with R coding,Perceptions ,QL
